REALINC,WRKSTAT,WRKSLF,WRKGOVT,OCC10,PRESTG10,PRESTG105PLUS,MARITAL,PAWRKSLF,SIBS,CHILDS,AGE,EDUC,MAEDUC,DEGREE,MADEG,SEX,RACE,RES16,REG16,MOBILE16,FAMILY16,MAWRKGRW,INCOM16,BORN,PARBORN,GRANBORN,HOMPOP,BABIES,PRETEEN,TEENS,ADULTS,EARNRS,REGION,SRCBELT,SIZE,PARTYID,PRES16,POLVIEWS,NATROAD,CAPPUN,COURTS,RELIG,FUND,ATTEND,RELITEN,POSTLIFE,PRAY,RELIG16,FUND16,BIBLE,HAPPY,WEEKSWRK,CLASS,PHONE,TVHOURS,GOD,REBORN,SAVESOUL,RELPERSN,SPRTPRSN
38373.75,1,2,2,4700,38,39,3,2,4,1,43,14,12,1,1,2,3,5,9,2,3,1,2,1,0,2,1,0,0,0,1,1,9,4,190,5,0,4,2,1,2,2,2,0,2,2,4,2,2,2,2,48,2,3,2,6,2,1,2,3
56850,1,2,1,2000,51,64,1,0,4,1,58,18,9,4,0,1,1,5,9,2,5,1,2,1,8,3,2,0,0,0,1,2,9,4,190,2,0,3,1,1,2,4,3,0,4,1,2,2,2,2,2,40,3,3,2,6,2,2,3,3
68220,5,2,2,1320,75,94,1,2,2,1,76,15,7,1,0,1,1,4,4,3,1,2,3,1,0,0,2,0,0,0,1,2,9,4,190,6,0,7,1,1,2,1,2,7,1,1,4,1,1,1,1,0,3,6,2,6,1,1,4,1
144502.71714,2,1,0,2340,38,32,1,0,0,1,40,19,14,3,2,2,1,5,9,3,7,1,2,1,0,0,3,0,0,1,1,2,9,4,190,2,0,3,2,1,2,1,2,2,2,1,2,4,3,2,2,42,3,6,2,3,2,2,3,2
9238.125,7,2,2,7710,44,47,5,2,9,1,31,12,0,1,0,2,3,3,9,1,1,1,5,2,8,4,6,1,1,0,1,2,9,3,36,3,0,6,1,2,3,2,2,1,3,1,4,2,2,1,2,0,2,3,2.898961068615139,6,2,2,2,3
13501.875,1,1,2,6260,28,23,5,1,7,1,52,12,15,1,1,1,1,1,9,2,1,2,3,1,0,0,2,0,1,0,1,1,9,1,59,1,0,4,1,1,2,4,3,0,4,1,5,1,2,3,2,52,2,3,2.898961068615139,3,2,2,4,3
10659.375,5,2,2,4710,48,58,2,2,5,1,66,13,12,1,1,1,3,6,9,3,1,2,2,1,0,4,2,0,0,0,1,2,9,3,18,6,0,5,3,1,2,2,2,5,2,1,4,2,2,2,1,0,3,3,5,6,2,2,2,3
79590,1,2,1,3930,34,27,3,1,3,1,51,17,14,3,2,2,2,5,9,2,3,1,3,1,0,0,2,0,0,0,1,1,9,3,68,3,0,4,1,1,2,1,1,7,2,2,1,1,1,1,3,52,3,3,2.898961068615139,6,1,1,2,2
31267.5,5,2,2,1610,73,95,1,1,1,1,75,16,5,3,0,1,1,5,0,3,1,2,2,2,8,4,2,0,0,0,1,1,9,3,68,4,0,5,2,1,2,1,2,0,2,1,5,2,2,3,1,25,3,3,1,4,2,2,2,4
79590,1,1,2,4810,47,61,1,2,2,1,58,16,12,3,1,1,1,4,3,3,1,1,4,1,0,2,2,0,0,0,1,2,9,3,68,0,0,3,1,2,2,1,3,7,1,1,2,1,3,2,2,52,3,3,2.898961068615139,1,2,2,2,2
144502.71714,1,2,2,3050,66,90,1,2,3,1,51,18,12,4,1,2,1,1,9,1,1,2,3,1,0,2,3,0,0,1,1,4,9,3,68,1,0,4,2,1,3,1,3,6,1,1,1,1,1,2,2,52,3,3,1,6,2,1,1,1
68220,2,2,1,2330,61,83,1,2,2,1,49,14,14,3,2,2,1,4,9,2,1,1,2,1,0,0,4,0,0,1,1,3,9,3,68,5,0,3,1,1,2,1,2,0,2,2,3,1,2,3,1,40,3,3,2,5,2,2,3,2
15633.75,2,2,2,5940,17,6,1,1,2,1,55,13,8,1,0,2,1,4,9,3,1,2,3,1,0,2,2,0,0,0,1,2,9,3,68,6,0,7,2,1,2,1,2,8,1,1,1,2,2,1,1,52,3,3,2.898961068615139,6,1,1,1,1
56850,1,2,2,5840,38,34,1,1,1,0,54,14,12,1,1,2,1,3,9,2,1,1,4,1,0,4,2,0,0,0,1,2,9,3,68,4,0,3,1,1,2,3,3,1,2,1,2,3,3,1,1,50,3,3,4,6,1,2,2,2
79590,1,1,2,430,39,42,3,1,1,1,55,18,14,3,1,1,1,5,9,1,1,2,4,1,0,2,2,0,0,1,1,2,9,4,19,0,0,2,2,1,3,3,3,5,1,0,4,3,3,3,1,52,3,6,0,5,2,2,1,1
